,Question,Answer
1520,How many times can you read one raven scroll?,"Stannis Baratheon's fleet has been spotted sailing north past Tarth, two hundred ships."
1521,"Rain fire on them from above."" You're quoting Father, aren't you?","Why not? He has a good mind for strategy, doesn't he?"
1522,"Why not? He has a good mind for strategy, doesn't he?","Call it tactics, not strategy. But, yes, he does have a good mind for it. The best mind, some would say. Sadly, he's not here. It's just you, me and Joffrey, the Lord of the Seven Kingdoms and Protector of the Realm."
1523,Did you?,I was wrong. If we can't control him
1524,Do you think I haven't tried? He doesn't listen to me.,It's hard to put a leash on a dog once you've put a crown on its head.
1525,"Robert was a drunken fool, but he didn't enjoy cruelty. Sometimes I wonder. What? If this is the price for what we've done, for our sins.",Sins?
1526,Sins?,"The Targaryens wed brother and sister for hundreds of years, I know. That's what Jaime and I would say to each other in our moments of doubt. It's what I told Ned Stark when he was stupid enough to confront me. Half the Targaryens went mad, didn't they? What's the saying? ""Every time a Targaryen is born, the Gods flip a coin."""
1527,"The Targaryens wed brother and sister for hundreds of years, I know. That's what Jaime and I would say to each other in our moments of doubt. It's what I told Ned Stark when he was stupid enough to confront me. Half the Targaryens went mad, didn't they? What's the saying? ""Every time a Targaryen is born, the Gods flip a coin.""","You've beaten the odds. Tommen and Myrcella are good, decent children, both of them."
1528,Then why wait?,We're sworn to the king.
1529,"So is saving Lannisters, yeah?","Back off, you."
1530,"Your son returns at dawn, my lady?",So they say.
1531,"The Kingslayer won't last the night. The more they drink, the angrier they'll get. And when the Karstarks draw their swords Who wants to die defending a Lannister?",Come.
1532,"Come to say goodbye, Lady Stark? I believe it's my last night in this world. Is that a woman?",Do you hear them out there? They want your head.
1533,Do you hear them out there? They want your head.,Old Lord Karstark doesn't seem to like me.
1534,Oh. Oh. Was he the one on guard duty? He was in my way. Any knight would have done the same.,You are no knight. You have forsaken every vow you ever took.
1535,"So many vows. They make you swear and swear. Defend the king, obey the king, obey your father, protect the innocent, defend the weak. But what if your father despises the king? What if the king massacres the innocent? It's too much. No matter what you do, you're forsaking one vow or another. Where did you find this beast?","She is a truer knight than you will ever be, Kingslayer."
1536,"Do you know, I've never been with any woman but Cersei. So in my own way, I have more honor than poor old dead Ned. What was the name of that bastard he fathered?",Brienne.
1537,"No, that wasn't it. Snow, a bastard from the North. Now, when When good old Ned came home with some whore's baby, did you pretend to love it? No. You're not very good at pretending. You're an honest woman. You hated that boy, didn't you? How could you not hate him? The walking, talking reminder that the honorable Lord Eddard Stark fucked another woman.",Your sword.
1538,What are you doing? What have you done?,"If there are any who still question whether your new lord means what he says, here is the answer to your question."
1539,What envy?,You should be proud of your brother's achievement. I took the great castle of Winterfell with twenty men.
1540,"You're a great warrior. I saw the bodies above your gates. Which one gave you the tougher fight, the cripple or the six-year-old?","I treated the Stark boys with honor, and they repaid me with treachery."
1541,You treated them with honor? By butchering them?,Before I had to kill them- I treated them-
1542,Then you made them prisoners in their home and they ran away. Is that treachery? I'd call it bravery.,They made me a promise
1543,Your little boy prisoners made you a promise and you got mad when they broke it? Are you the dumbest cunt alive?,Don't call me
1544,A cunt. A dumb cunt who killed the only two Starks in Winterfell. You know how valuable those boys were?,"If I hadn't killed them, the Northerners would think me weak."
1545,You haven't brought enough men. How am I supposed to defend Winterfell with just this lot?,You're not. I've come to bring you home. Father wants a word.
1546,Is this a joke? Winterfell is the heart of the North.,"Aye, it is, hundreds of miles from the sea. We're islanders, baby brother. Had you forgotten that? Our power comes from our ships. And now that you've decorated your walls with the bodies of the Stark boys, every man in the North wants to see you hanged. When Robb Stark finds out-"
1547,"Aye, it is, hundreds of miles from the sea. We're islanders, baby brother. Had you forgotten that? Our power comes from our ships. And now that you've decorated your walls with the bodies of the Stark boys, every man in the North wants to see you hanged. When Robb Stark finds out-",He won't find out. We've killed all the ravens. We have all the horses. I've taken Winterfell. And I will keep Winterfell.
1548,"You were a terrible baby, do you know that? Bawling all the time, never sleeping. And one night, you just wouldn't shut up, screaming like a dying pig. I walked over to your crib, I looked down at you. I wanted to strangle you. And you looked up at me and you stopped screaming. You smiled at me. Don't die so far from the sea.","I've brought you a present, Lord of Bones."
1549,What does Mance want with a dead man's bastard?,I don't know. I think he'll want to decide for himself.
1550,The others?,"When you didn't come back, we went looking for you. We found your tracks fast enough. But they found us before we found you."
1551,Is she beautiful?,I've never met her.
1552,What's her name?,"Frey, I suppose. I don't know her first name."
1553,And you're marrying her for a bridge?,An important bridge.
1554,"He once told me that being a lord is like being a father, except you have thousands of children and you worry about all of them. The farmers plowing the fields are yours to protect. The charwomen scrubbing the floors, yours to protect. The soldiers you order into battle. He told me he woke with fear in the morning and went to bed with fear in the night. I didn't believe him. I asked him, ""How can a man be brave if he's afraid?"" ""That is the only time a man can be brave,"" he told me.",I wish I could have met him.
1555,And you? You think I'm fighting this war so they'll sing songs about me? I want to go home. I want the men following me to go home.,Then why don't you?
1556,Then why don't you?,Because we'll never be safe until the Lannisters are defeated. And because I believe in justice.
1557,How? How?,Tell me this isn't true.
1558,Why?,For the girls.
1559,"I lost one son fighting by your son's side. I lost another to the Kingslayer, strangled with a chain. You commit treason because your children are prisoners? I would carve out my heart and offer it to the Father, if he would let my sons wake from their graves and step into a prison cell.","I grieve for your sons, my lord."
1560,Robb. How many men did we send in pursuit of the Kingslayer?,"Forty, Your Grace."
1561,"You're much uglier in daylight. What's your name? I'm Jaime Lannister of Casterly Rock, son of Tywin.",A captive knight has a right to know his captor's identity.
1562,"Tarth, Tarth, Tarth. Crescent moons and starbursts. Lord Selwyn Tarth. Your father. Do you have any brothers and sisters, my lady? It's a long way to King's Landing. Might as well get to know one another.",Have you known many men? I suppose not. Women? Horses? Ah.
1563,Have you known many men? I suppose not. Women? Horses? Ah.,"I didn't mean to give offense, my lady. Forgive me."
1564,Why do you hate me so much? Have I ever harmed you?,"You've harmed others, those you were sworn to protect, the weak, the innocent."
1565,Has anyone ever told you you're as boring as you are ugly?,You will not provoke me to anger.
1566,I already have. Look at you. You're ready to chop my head off. Do you think you could? Do you think you could beat me in a fair fight?,I've never seen you fight.
1567,Do you take me for an idiot? In!,"I took you for a fighter, a man Pardon. Woman of honor. Was I wrong? You're afraid."
1568,"I took you for a fighter, a man Pardon. Woman of honor. Was I wrong? You're afraid.","Maybe one day we'll find out, Kingslayer."
1569,Surrender the Iron Throne?,Better than seeing their heads mounted on the city gates. Stannis will execute them all.
1570,Who killed Ser Amory?,I don't know! Please!
1571,Where's Jaqen?,"Don't care. Where's your stick now, bitch? I promised to fuck you with it."
1572,"Don't care. Where's your stick now, bitch? I promised to fuck you with it.","Come on, time to kill some wolves."
1573,How would I know?,I need him now. Lord Tywin's marching tonight.
1574,You need him?,He's helping me.
1575,Where?,Ow!
1576,What do you want with him anyway?,"Mance is gonna march on the Wall. When he does, one brother inside his army will be worth a thousand fighting against it."
1577,What?,How does it feel knowing those men all died so you could skip through the snow with your little savage girl?
1578,How does it feel knowing those men all died so you could skip through the snow with your little savage girl?,I didn't.
1579,Do you have to do that here?,I like to keep me hands clean.
1580,"Yes, but do you have to do it here?",You should start wearing the gold cloak.
1581,What?,What?
1582,What?,What? What? Why are you staring at me?
1583,What? What? Why are you staring at me?,You don't want me cleaning me nails. You don't want me looking your way. Why am I here?
1584,You don't want me cleaning me nails. You don't want me looking your way. Why am I here?,To help me plan the defense of King's Landing.
1585,And one of these explains how to beat him?,"An History of the Great Sieges of Westeros. "" By Archmaester Shevelathin. Shevelatesh."
1586,My Lord Hand. Commander. I must compliment you on the gold cloaks' performance these last few weeks. Did you know there has been a marked drop in thievery?,I did not know. And how did you accomplish this marked drop in thievery?
1587,I did not know. And how did you accomplish this marked drop in thievery?,Me and the lads rounded up all the known thieves.
1588,For questioning?,No. It's just the unknown thieves we need to worry about now.
1589,"Aye, we talked about it. Have you ever been in a city under siege? Maybe this part's not in your books. See, it's not the fighting that kills most people. It's the starving. Foodo s worth more than gold. Noble ladies sell their diamonds for a sack of potatoes. Things get bad enough, the poor start eating each other.","The thieves, they love a siege. Soon as the gates are sealed, they steal all the food. By the time it's all over, they're the richest men in town."
1590,"And if Stannis does attack the Mud Gate, what is our plan?",We could throw books at his men.
1591,What do we have?,Pig shit.
1592,Where do you think Jon is right now?,He went off with the Halfhand. He didn't come back. A betting man would go with dead.
1593,What in seven hells is that?,The First Men made these marks. Help me with it.
1594,Dragonglass?,The maesters call it obsidian.
1595,Why would a brother hide it here?,I expect it's 'cause he wanted somebody to find it.
1596,Where were you?,A man has patrol duty.
1597,How long after I give you the name does it take you to kill someone?,"A minute, an hour, a month. Death is certain, the time is not."
1598,And you'll kill them? Anybody?,"By the Seven New Gods and the Old Gods beyond counting, I swear it."
1599,A girl gives a man his own name?,That's right.
1600,Please?,I'll un-name you.
1601,Excellent lamprey pie. Were you slaving away in the kitchen all day? I hear Joffrey plans on fighting. An inspiration for the troops. The young king in his shining armor fighting to defend the capital against the wicked old rebel.,He's only a boy.
1602,"What is he, seventeen? Remember Jaime at seventeen?","Better than you. Some men have a gift for this sort of thing, some don't. His place is not on the battlefield."
1603,Do you think I'm an idiot?,"No, I'd say you possess above-average intelligence."
1604,He'll have his Kingsguard protecting him. He has the finest armor gold can buy. He needs to be out there. The men will fight more fiercely seeing their king fighting beside them instead of hiding behind his mother's skirts. Any dessert?,Do you know why Varys is so dangerous?
1605,Do you know why Varys is so dangerous?,Because he has thousands of spies in his employ. Because he knows everything we do before we do it.
1606,Why are you smiling?,Because I'm happy.
1607,And why are you happy?,Because I have your little whore.
1608,"Such a droll little fellow. Tell me, have you married this one yet? No? Good. Father will be so pleased.",Why do you care who I fuck?
1609,Why do you care who I fuck?,"Because a Lannister always pays her debts. You stole my only daughter, you plot to have Joffrey killed."
1610,"For what? Your skill in battle? Pretty thing, your whore. Lovely body. The bruises will heal in time.",Where did you find her?
1611,Where did you find her?,"Varys isn't the only one who hears whispers. Really, a Lannister lion necklace? You need to hide your secret whores more carefully."
1612,"Varys isn't the only one who hears whispers. Really, a Lannister lion necklace? You need to hide your secret whores more carefully.",You've forgotten the most important thing about whores.
1613,"Oh? Well, you're the expert. Tell me.","You don't buy them, you only rent them."
1614,"You're usually a better liar, baby brother. This one you like. You like her very much. Could it be love? Don't worry, she'll be treated gently enough. Unless Joffrey is hurt. And then every wound he suffers, she'll suffer, too. And if he dies, there isn't a man alive who could devise a more painful death for your little cunt.",And how do I know you haven't killed her already?
1615,And how do I know you haven't killed her already?,"Would you like to see her? I thought you might. Ser Mandon, bring in my brother's whore."
1616,"Would you like to see her? I thought you might. Ser Mandon, bring in my brother's whore.",I'm sorry they hurt you. You must be brave.
1617,I've been waiting all night. What is wrong?,You're beautiful.
1618,Then why do you look sad?,We have to be more careful.
1619,I would kill for you. Do you know that? I expect I'll have to before this is over. You're mine.,I'm yours.
1620,Still no word?,We've sent a dozen ravens. None have returned. My bastard is only a few days from Winterfell. Once he captures the castle
1621,How are you?,How am I? I've had to arrest my mother. The Lannisters have my sisters. The man I considered my closest friend has seized my home and my brothers. I'm fighting a war and I don't know if I should march south or north.
1622,How am I? I've had to arrest my mother. The Lannisters have my sisters. The man I considered my closest friend has seized my home and my brothers. I'm fighting a war and I don't know if I should march south or north.,I'm sorry. It was a stupid question. I'm sorry.
1623,What kind do you want to be?,I don't know. The good kind. Most kings grew up as princes. They spend their whole lives preparing for the crown. I was raised to be Lord of Winterfell.
1624,How did you go from reciting Valyrian poetry to sawing off men's feet?,"When I was twelve, my mother and father went to a wedding. Weddings in Volantis last for days, you know. And they left me with my little brother. The second afternoon they were gone was the hottest day in the three-year summer. We couldn't bear to be inside, so we ran down to the Rhoyne. Every child in Volantis was in the Rhoyne that day. The rich, the poor, we were all there. Naked, screaming, racing to the little islands. Drummers were playing for coppers on the east bank. I was treading water, talking to a friend, when I realized I hadn't seen my brother. I called his name. Then I started screaming his name. And then I saw him floating face down. My heart just stopped. I was I dragged him from the water. My friend helped me, I think. I don't even remember. He was so little. Then we pulled him onto the riverbank. And I screamed at him and I shook him. And he was dead. Just dead. A man ran over. He had a fish tattoo on his face. In Volantis, the slaves have tattoos. So you know what they are without having to talk to them. And this man worked on a fishing boat. And he pushed me out of the way. You have to understand, for a slave to push a highborn girl, that's death for the man, a terrible death. But he pushed me out of the way, and he started pressing on my brother's chest again and again and again, until my brother spat out half of the Rhoyne and cried out. And the man cradled his head and told him to be calm. I decided two things that day. I would not waste my years planning dances and masquerades with the other noble ladies. And when I came of age, I would never live in a slave city again. I'm sorry, Your Grace. You told me of your problems and I've blathered on."
1625,Shut up. What did you bring?,Shut up. What did you bring?
1626,Shut up. What did you bring?,The cheese could be better. I did get some nice sausages.
1627,What did he want us to do about those guards?,"He didn't say. He just said, ""Walk through the gates."""
1628,What about the guards?,He didn't say anything about the guards.
1629,"What, he left that bit out? It's a pretty important part, don't you think?",We have to trust him.
1630,Trust him? You trusted him to fight with us when you set him free and he ran.,I want to go back to the kitchens.
1631,Will it hold?,"Can't make promises for the wind, Your Grace."
1632,Do you? Why?,My father was a crabber.
1633,And?,"Well, sons of lords don't like to break bread with sons of crabbers. Our hands stink."
1634,And where were those lords when Storm's End starved?,Many fought bravely for your brother. Many fought for the Mad King.
1635,No? Robert did. He gave Storm's End to Renly after the war. Renly never fought a day in his life.,He was only a boy.
1636,Then why'd he give him Storm's End?,"First, we ate the horses. We weren't riding anywhere, not with the castle surrounded. We couldn't feed them, so fine, the horses. Then the cats. Never liked cats. So fine. I do like dogs. Good animals. Loyal. But we ate them. Then the rats. The night before you slipped through, I thought my wife was dying. She couldn't speak anymore, she was so frail. And then you made it through the lines. Slipped right through in your little black sailboat with your onions."
1637,"To strike? My dear nephew, you do see these men preparing the walls for siege? You do understand Stannis Baratheon sails this way?","If my Uncle Stannis lands on the shores of King's Landing, I'll ride out to greet him."
1638,What do you want? Tell me.,"If we're going to play, you'll have to start."
1639,"You're quite good at being Hand, you know? Jon Arryn and Ned Stark were good men. Honorable men. But they disdained the game and those who played. You enjoy the game.",I do. Last thing I expected.
1640,"The Lord of Light wants his enemies burned, the Drowned God wants them drowned. Why are all the gods such vicious cunts? Where is the god of tits and wine?","In the Summer Isles, they worship a fertility goddess with sixteen teats."
1641,Astapor?,We cannot stay here.
1642,And what of my magic? You saw me step into the fire. You watched the witch burn. What did the flames do to me? Do you remember?,"Until my last breath, I will remember. After I have forgotten my mother's face."
1643,What's this?,Gold for the farmer. For his trouble.
1644,Who was that out there hung up at the gates?,Must have been the farmer's boys.
1645,He killed them and burned them and passed them off as the little lords?,They mustn't know. Bran would blame himself.
1646,But not over them?,"Over all of us. The people of King's Landing did not choose the false king, Joffrey Baratheon. They will be glad to see his head on a spike."
1647,"Are you afraid, my lion?","If the city falls, Stannis will burn every Lannister he can find. Of course I'm afraid."
1648,I have so far. Do you remember what you said when you met me in your tent? That I should make love to you like it was your last day on this earth.,"As you know, Your Grace, it is not only the sworn duty of a maester to carry out the wishes of the house he serves, but also to offer guidance and counsel in times of war."
1649,You brought me something?,"Yes. Essence of nightshade is as dangerous as it is efficacious. A single drop in a cup of wine suffices to soothe ragged nerves. Three drops will bring on a deep and dreamless sleep. Ten drops, however-"
1650,Lannisters! Where'd you learn the Lannister song?,Drunk Lannisters.
1651,And I like your nose. How many times you break it?,"Well, now let's see. First time, I was five. My mam smacked me with an iron poker."
1652,You think you're a hard man?,I know it.
1653,And quicker. Eh?,Your Lord Imp's going to miss you.
1654,One more drink before the war? Shall we?,"I've always hated the bells. They ring for horror. A dead king, a city under siege."
1655,"Exactly. Podrick, is that it?","Is that it?"" Nice touch. As if you don't know the name of every boy in town."
1656,"Is that it?"" Nice touch. As if you don't know the name of every boy in town.",I'm not entirely sure what you're suggesting.
1657,Do you trust him?,"Oddly enough, I do."
1658,What of it?,"You don't believe in the old powers, my lord?"
1659,"You don't believe in the old powers, my lord?","Blood spells, curses, shape-shifting. What do you think?"
1660,"Blood spells, curses, shape-shifting. What do you think?",I think you believe in what you see and in what those you trust have seen. You probably don't entirely trust me.
1661,I've never known bells to mean surrender. They want to play music with us? Let's play. Drums.,Drums!
1662,"I know what ""in"" means. Do you know how to use that?","I chopped wood once. No, I watched my brother chopping wood."
1663,"Oh, are we friends now?",Of course we are. Just because I pay you for your services doesn't diminish our friendship.
1664,Will you?,Just as I pray for the king's.
1665,Will you slay him yourself?,If Stannis is fool enough to come near me.
1666,So you'll be outside the gates fighting in the vanguard?,A king doesn't discuss battle plans with stupid girls.
1667,Where's our fleet?,On the way.
1668,Why isn't it here now? They're coming.,"Hound, tell the Hand that his king has asked him a question."
1669,Where are their ships?,It was wise to attack at night. We took them by surprise.
1670,Why would she be jealous?,Sansa.
1671,"I was wondering where our little dove had flown. You look pale, child. Is your red flower still blooming?",Yes.
1672,"Fitting, isn't it? The men will bleed out there and you will bleed in here. Pour Lady Sansa some wine.","I'm not thirsty, Your Grace."
1673,So? I didn't offer you water.,What's he doing here?
1674,What's he doing here?,"Ser llyn? He's here to defend us. When the axes smash down those doors, you may be glad to have him."
1675,"Ser llyn? He's here to defend us. When the axes smash down those doors, you may be glad to have him.",But we have guards to defend us.
1676,What are you doing? We need to attack them.,Boulders ready!
1677,There's only one ship. Where are the rest of them? Where are the rest of them?,There's only one ship.
1678,What are you doing?,Praying.
1679,"You're perfect, aren't you? Praying. What are you praying for?",For the gods to have mercy on us all.
1680,Oh. On all of us?,"Yes, Your Grace."
1681,Even me?,"Of course, Your Grace."
1682,Even Joffrey?,Joffrey is my-
1683,Your father doesn't believe in the gods?,"He believes in them, he just doesn't like them very much."
1684,And if the city should fall?,"You'd like that, wouldn't you? The Red Keep should hold for a time, long enough for me to go to the walls and yield to Lord Stannis in person. If it were anyone else outside those gates, I might have hoped for a private audience, but this is Stannis Baratheon. I'd have a better chance of seducing his horse."
1685,"You'd like that, wouldn't you? The Red Keep should hold for a time, long enough for me to go to the walls and yield to Lord Stannis in person. If it were anyone else outside those gates, I might have hoped for a private audience, but this is Stannis Baratheon. I'd have a better chance of seducing his horse.","Have I shocked you, little dove? Tears aren't a woman's only weapon. The best one's between your legs. Learn how to use it. Drink."
1686,"Have I shocked you, little dove? Tears aren't a woman's only weapon. The best one's between your legs. Learn how to use it. Drink.","Do you have any notion of what happens when a city is sacked? No, you wouldn't, would you? If the city falls, these fine women should be in for a bit of a rape. Half of them will have bastards in their bellies come the morning. You'll be glad of your red flower then. When a man's blood is up, anything with tits looks good. A precious thing like you will look very, very good. A slice of cake just waiting to be eaten."
1687,"Do you have any notion of what happens when a city is sacked? No, you wouldn't, would you? If the city falls, these fine women should be in for a bit of a rape. Half of them will have bastards in their bellies come the morning. You'll be glad of your red flower then. When a man's blood is up, anything with tits looks good. A precious thing like you will look very, very good. A slice of cake just waiting to be eaten.","More pressure! Pull! Pull! That's it, men! Pull! Pull!"
1688,Better. You learn fast. How long have you been in Lady Sansa's service?,"A few weeks, Your Grace."
1689,When did you leave Lorath?,I had a Lorathi handmaiden once.
1690,But she was a nobleman's daughter. You're not. When did you come to Westeros?,"Ten years ago, Your Grace."
1691,"From Lorathi commoner to the Red Keep in ten years, all without learning how to curtsy. I imagine that's a very interesting story. What's your name?","Shae, Your Grace."
1692,What news?,"The Imp has set the river afire. Hundreds of ships are burning, maybe more. Stannis' fleet destroyed, but But But his troops have landed outside the city walls."
1693,Where is Joffrey?,On the battlements with Lord Tyrion.
1694,What?,The king's presence is good for morale.
1695,Not here?,With the women and children? Do you want him to be mocked as a coward for the rest of his life?
1696,With the women and children? Do you want him to be mocked as a coward for the rest of his life?,"No, but I-"
1697,"When I told you about Ser llyn earlier, I lied. Do you want to hear the truth? You want to know why he's really here? He's here for us. Stannis may take the city, he may take the throne, but he will not take us alive.",Help me!
1698,"Can I get you some iced milk and a nice bowl of raspberries, too?","Eat shit, dwarf."
1699,"If you won't defend your own city, why should they?",What would you have me do?
1700,What would you have me do?,Lead. Get down there and lead your people against the invaders who want to kill them.
1701,What did my mother say exactly? Did she have urgent business with me?,"She did not say, Your Grace."
1702,Where is the king? Why isn't he with us?,Who are we fighting for?
1703,Who are we fighting for?,Who leads us?
1704,Who leads us?,I'll lead the attack. I'll lead the attack!
1705,What are you talking about?,"Pod, my helmet. Ser Mandon, you will bear the king's banner. Men, form up. Men Men! They say I'm half a man. But what does that make the lot of you?"
1706,"Pod, my helmet. Ser Mandon, you will bear the king's banner. Men, form up. Men Men! They say I'm half a man. But what does that make the lot of you?",The only way out is through the gates. And they're at the gates.
1707,Where is my son?,I want to escort him back to the battle.
1708,Why do I care what you want? Bring me-,Now listen to me-
1709,"Don't be afraid. The queen has raised the drawbridge. This is the safest place we can be. Joffrey's not hurt. He's fighting bravely. His knights have rallied behind him. They will save the city. Shall we sing a hymn? Gentle mother, fount of mercy...","Save our sons from war, we pray."
1710,What are you doing here?,Not here for long. I'm going.
1711,Where?,"Someplace that isn't burning. North, might be. Could be."
1712,What about the king?,He can die just fine on his own.
1713,I'll keep you safe. Do you want to go home?,I'll be safe here. Stannis won't hurt me.
1714,No one's going to hurt you. I'll tell you a story. You know the one about the mother lion and her little cub? They lived in the woods.,The Kingswood?
1715,The Kingswood?,"Yes, my love. In the Kingswood, there lived a mother and her cub. She loved him very much. But there were other things that lived in the woods. Evil things."
1716,Like what?,Like stags.
1717,"And the cub said, ""Will I be strong and fierce like my father?""","Yes,"" said his mother. ""You will be strong and fierce just like your father."
1718,"And who are you,"" the proud lord said / ""That I must bow so low?"" / ""Only a cat of a different coat / That's all the truth I know / In a coat of gold or a coat of red / A lion still has claws / And mine are long and sharp, my lord / As long and sharp as yours"" / And so he spoke, and so he spoke / That Lord of Castamere / But now the rains weep o'er his hall / With no one there to hear / Yes, now the rains weep o'er his hall / And not a soul to hear",Pod.
1719,Would you like something for the pain?,What happened?
1720,What happened?,The murderer and traitor Stannis Baratheon suffered a stunning defeat at the hands of your father.
1721,Where am I?,"These are your new chambers. A little cramped, perhaps, but you don't need much room, do you? You are no longer Hand of the King."
1722,"These are your new chambers. A little cramped, perhaps, but you don't need much room, do you? You are no longer Hand of the King.","Oh, For your trouble."
1723,"Is this what you want, Lady Margaery?","With all my heart, Your Grace. I have come to love you from afar. Tales of your courage and wisdom have never been far from my ears. And those tales have taken root deep inside of me."
1724,"He'll let you go home? Joffrey's not the sort of boy who gives away his toys. You have a tender heart, just like your mother did at your age. I can see so much of her in you. She was like a sister to me. For her sake, I'll help get you home.",King's Landing is my home now.
1725,You sure? Most men like what they see.,I'm not like most men.
1726,Have we met?,You wouldn't remember me if we had?
1727,You wouldn't remember me if we had?,I meet a lot of men.
1728,You're afraid. Why? Nothing dangerous down there.,I know who you are.
1729,How do you know about that?,I thought you said you knew who I was.
1730,"What can I do for you, Lord Varys?",Littlefinger looks at you and sees a collection of profitable holes. I see a potential partner.
1731,"You're a virgin, I take it?",Walk.
1732,"Childhood must have been awful for you. Were you a foot taller than all the boys? They laughed at you, called you names? Some boys like a challenge. One or two must have tried to get inside Big Brienne.",One or two tried.
1733,What are you doing?,Burying them.
1734,"So unless it got stuck in your arse on its way to your cunt, it stands to reason that it's gone. Whoa. What's your business here?",Traveling a prisoner.
1735,Whoa. Whoa! Who do you fight for?,The Starks.
1736,What did he do?,Apparently eating is now a crime. Who knew?
1737,Apparently eating is now a crime. Who knew?,"No, stealing is a crime."
1738,Where are you taking him?,To Riverrun.
1739,Why Riverrun?,"Steal from the Tullys, it's their dungeons you rot in."
1740,Why not kill him?,For stealing a pig?
1741,For stealing a pig?,I don't give the orders. He must be important to someone.
1742,Sending him with you? How important could he be?,"All right, have it your way, my lady."
1743,Do I know you?,Have you been to Ashemark?
1744,Have you been to Ashemark?,No.
1745,Do you ever go to the river market at Salt Rock?,Is it near Ashemark?
1746,Is it near Ashemark?,I've never been there.
1747,What do you think of these beauties?,I hope you gave them quick deaths.
1748,How do you know what the Kingslayer looks like?,I was at Whispering Wood. I saw him. They dragged him out of the woods and threw him down before the king.
1749,"I have a question for you both. And I want you to answer it at the same time. I count to three, you both answer. What's his name? One. Two. Three.",Two quick deaths.
1750,And you mean to do it anyway?,I love her.
1751,"And that is what would be in store for me with one of Walder Frey's daughters, what you and father had?",Why not? Because she's not beautiful? Because she's not exotic and exciting?
1752,Why not? Because she's not beautiful? Because she's not exotic and exciting?,Now you're arguing just to argue because you arranged it.
1753,"The flames lied. And I'm no better than a savage trusting in a fire god. I fought for your god in Blackwater Bay. I led my men to the gates of the seventh hell as their brothers burned alive, and for what? Attacked from behind by Tywin Lannister and the Tyrells. If you see so much in your flames, why didn't you warn me?",The Lord of Light only allows me glimpses.
1754,Will you quit the war just because you've lost a battle?,You talk about war as if you understand it.
1755,Have you? Show me how you fight.,Show me.
1756,Where's your god now? Will he save you? Where is your god?,Inside you.
1757,"Keep looking. Do you see? Do you see, my king?",Yes.
1758,No word from my father?,No.
1759,"Yes, my captors were so very kind to me. You love reminding me of that. Everyone in this frozen pile of shit has always loved reminding me of that. You know what it's like to be told how lucky you are to be someone's prisoner? To be told how much you owe them? And then to go back home to your real father","I will kill that man. I swear to the Drowned God, the Old Gods, the New Gods, to every fucking god in every fucking heaven, I will kill that man."
1760,"And what's your counsel, trusted friend?",Run. Five hundred Northmen wait outside the walls. You have twenty men. You can't win. Wait for nightfall and run.
1761,"I've done a lot, haven't I? Things I never imagined myself doing.","I've known you many years, Theon Greyjoy. You're not the man you're pretending to be. Not yet."
1762,"You hear that? That's the mating call of the Northmen. They want to fuck us. Well, I haven't had a good fuck in weeks. I'm ready for one.",They say every Ironborn man is worth a dozen from the mainland.
1763,You think they're right?,Aye.
1764,What is this? What are you doing?,Let's go home.
1765,Why should I believe you?,Why would I lie about it?
1766,Why would I lie about it?,To create strife between my sister and me.
1767,"Yes, my lord?",Would it be excessive of me to ask you to save my life twice in a week?
1768,Would it be excessive of me to ask you to save my life twice in a week?,"No, my lord."
1769,Don't want to swim too close to a drowning man? And I thought we were friends.,"We are. Podrick, would you mind?"
1770,"We are. Podrick, would you mind?","There are many who know that without you this city faced certain defeat. The king won't give you any honors, the histories won't mention you, but we will not forget."
1771,Good of me? Of course I come.,I want to see you.
1772,Have you looked?,I will be the first.
1773,Well?,You are a mess.
1774,You think I'm here for money?,That was the arrangement we made. I pay you and you lie to me.
1775,Leave?,"Leave King's Landing. They tried to kill you. They will try again. Going into wars, fighting soldiers, you're terrible at this. Let's take a boat to Pentos and never come back. You don't belong here."
1776,What would we do in Pentos?,"Eat, drink, fuck, live."
1777,"I can't. I do belong here. These bad people are what I'm good at. Out-talking them, out-thinking them. It's what I am. And I like it. I like it more than anything I've ever done. Are you going to leave?",You have a shit memory. I am yours and you are mine.
1778,Where are the guards?,"No guards. The warlocks kill with sorcery, not steel."
1779,Is this a riddle?,Khaleesi! Khaleesi!
1780,Are you trying to frighten me with magic tricks? You want me? Here I am. Are you afraid of a little girl?,How did he find us?
1781,How did he find us?,What are you doing here?
1782,What are you doing here?,Waiting for you.
1783,How did you know we'd come this way?,"After all the things you have seen, this is your question?"
1784,"After all the things you have seen, this is your question?",How did you kill those guards? Was it hard?
1785,How did you kill those guards? Was it hard?,"No harder than taking a new name, if you know the way."
1786,Where?,Far and away across the Narrow Sea to Braavos.
1787,What is it?,A coin of great value.
1788,Could it buy a horse?,It is not meant for the buying of horses.
1789,Then what good is it?,"If the day comes when you must find me again, just give that coin to any man from Braavos and say these words to him, ""Valar Morghulis."""
1790,"Osha, what are you doing?",Tell us what medicine to get from your chambers.
1791,Do you want to be with them?,You will be.
1792,"Never swung a sword before, have you? You look like a baby with a rattle.",Enough of that!
1793,"Why, traitor? So you can give Mance Rayder an invitation to Castle Black?",Let 'em fight.
1794,That's it? That's what you can do? You little shit.,Your traitor father teach you that?
1795,Your traitor father teach you that?,Or was it your whore mother?
1796,Or was it your whore mother?,We are the watchers on the Wall.
