,Question,Answer
2116,What IQ test?,What's casus belli.
2117,Is it about me?,Why must you always be the focal point of attention? Why can't you just be?  Why can't you live?
2118,Why must you always be the focal point of attention? Why can't you just be?  Why can't you live?,"It's just a Latin phrase George, it does not mean anything. Now, what is this test?"
2119,"It's just a Latin phrase George, it does not mean anything. Now, what is this test?",This woman he's dating is making him take this IQ test for this course.
2120,Wha'd you get on your SAT's?,It varies.
2121,"Hey, remember in college when you passed Lettick the test out the window? You became a legend after that.","Yeah, yeah I really had some guts back then. Why don't we do it again?"
2122,"Yeah, yeah I really had some guts back then. Why don't we do it again?",What?
2123,What?,"You could take the IQ test for me. I could pass it to you out a window. We could do it, she lives in the first floor."
2124,Are you serious?,Why not?
2125,Why not?,Where would I take the test?
2126,Where would I take the test?,"I don't know, she lives right around the corner. You could take it here or go to the coffee shop."
2127,"Hey, what do you think?","Hey, I love a good caper."
2128,"Yeah, that's what is, isn't it? A caper. Huh.",You'll do it?
2129,You'll do it?,What the hey.
2130,"Oh, ah how did you hear about us?","Eh, people, people are talking."
2131,Smoking or non-smoking? We are proud to offer both.,"Ah, non-smoking would be great."
2132,"Well, ah w-what do you recommend my good fellow?","Oh, the turkey."
2133,"Very kind. I am a kind man. Who else would do something like this? Nobody. Nobody thinks about people the way I do. All right, snap out of it you stupid jerk. You're eating a turkey sandwich. What do want, a Nobel Prize?",You go in the living room. I'll take the test in here.
2134,But why?,"I won't be able to, concentrate in front of you."
2135,Are you kidding me? [Elaine walks past the window glancing in] This is the best tool we have today of measuring a persons' intelligence.,"Well, I certainly don't place any importance on it."
2136,What's been going on out there? I've been standing here 20 minutes.,"I'm sorry I'm sorry, here's the test. Thanks again for doing this - hhe."
2137,So?,"Well, I'm not giving it back."
2138,Why not?,"We'll because I meet a lot of women in this jacket, you know they're attracted to it. I mean why do you think my mother went out with him?"
2139,"We'll because I meet a lot of women in this jacket, you know they're attracted to it. I mean why do you think my mother went out with him?","Oh, gees..."
2140,"Anyway, it's been two years. I mean isn't there like statue of limitations on that?",Statute.
2141,What?,Statute of limitations. It's not a statue.
2142,"Wait a minute, Just wait a minute...Elaine, Elaine! Now you're smart, is it statue or statute of limitations?",Statute.
2143,What test?,An IQ test.
2144,Hmm. Why you takin' an IQ test?,It's for George.
2145,George?,"Yeah, can-look ... can I explain it to you later?"
2146,"Yeah, can-look ... can I explain it to you later?","Yeah, but why are you taking an IQ test for George?"
2147,"Yeah, but why are you taking an IQ test for George?",Would you please?!
2148,Would you please?!,"What, is it for a job or something?"
2149,"What, is it for a job or something?",Later!
2150,You're positive it's statute?,"Yes, yes!"
2151,George?,Yeah?
2152,Yeah?,The door is locked.
2153,"Oh, it's locked?",I need to get something.
2154,Babu! Ba-If-if ya don't mind?,Set. ok
2155,"Babu, you're Pakistani, right?","Yes, Pakistani, yes."
2156,"Babu, may I say something?","Of course, you're very smart man, I listen."
2157,"I am not a restaurateur by any means, but it occurred to me that perhaps you might serve some dishes from your native Pakistan? As opposed to say t-the franks and beans for example.",But there are no Pakistani people here.
2158,"Yes, you see everything, don't you?","Well, you know; not everything. I do what I can."
2159,What did you go on a picnic?,Babu Bhatt did it.
2160,Babu Bhatt? How I'm going to explain this?,Time's up George.
2161,How did you do?,Piece of cake; hu.
2162,What happened to the test?,What? Oh I spilled some food on it.
2163,What? Oh I spilled some food on it.,Food? What food?
2164,Food? What food?,What are you talking about?
2165,What are you talking about?,Where did you get food?
2166,Where did you get food?,From my pocket.
2167,Your pocket?,"I eh, I had a sandwich in my pocket."
2168,And coffee?,"Yeah, had some coffee, yeah."
2169,Where did you get the coffee?,"Where did I get the coffee? Where do think I got the coffee, at the grocery store."
2170,"Where did I get the coffee? Where do think I got the coffee, at the grocery store.",How did you get there?
2171,How did you get there?,I walked.
2172,How did you get out of the apartment? I didn't see you leave.,I climbed out the window.
2173,You climbed out the window?,Of course.
2174,Why didn't you go out the door?,The door? Why would I go out the door? The window's right here.
2175,The door? Why would I go out the door? The window's right here.,"You're a fascinating man, George Costanza."
2176,How'd you do on the IQ test?!,85!
2177,What?!!,85 Jerry! 85 IQ !
2178,85?,"Well, we'll, we'll..."
2179,He's coming up?,"Well, I'm no genius but, according to my calculations he should be here in a few seconds."
2180,But an 85?,"Listen, there we're too many distractions there. Babu...what ever he's name was and Kramer...I couldn't concentrate."
2181,"Oh, come on, come on. I?ll guarantee 140. What do you have to lose?",You could do worse!
2182,You wish to eat?,Let me tell you something Babu. You go back in that kitchen -- tell your chef I want the works.
2183,What are you doing?,"Quiet. Shh, don't say anything."
2184,What's going on?,"Hey, Kramer! I saw you go there! I'm not leaving until you gimme that jacket. Open up Kramer!"
2185,Wha'd you come in here for?,"Ah, we'll I thought I'd throw him off. See, he knows where I live."
2186,How come?,What's the difference?!!
2187,What's the difference?!!,"Well, you can't leave now."
2188,What?,"Come on, Kramer! I want that jacket back!"
2189,We'll?,How' you doing?
2190,How' you doing?,Where's the test?
2191,Where's the test?,"Hunh, You know, it's the damnedest thing. I went out the window again to, to get a cup of coffee..."
2192,"Babu? Babu...[waves Babu to come to table] Babu...you know, I got to tell you, I never do this, but the shrimp, it's just, it's a little stringy. You have any chicken?",The shrimp is stringy?
2193,The shrimp is stringy?,"Well, maybe your refrigerator..."
2194,"You make me change restaurant, but nobody come! You say make Pakistani, Babu Bhatt have only Pakistani restaurant. But where are people? You see people? Show me people. There are no people!","You know, I think I'll just take the check."
2195,Bad man? Could've my mother been wrong?,Are you looking for George?
2196,Are you looking for George?,"We'll eh, kind of...."
2197,"Is, that the test?","Oh, this...emm...yeah...here you go."
2198,Aren't you cold? Where's your jacket?,h-Yeah...
2199,I just ran in to Monica. You know what my IQ is? 151.,151?
2200,151?,Yeah..heheah
2201,"So, what are you up for? How about Mexican?",Italian.
2202,"You know, what would be great?","....hair that was on your shower soap today could be in your head tomorrow. How did they do the first transplant? Did they have the guy take a shower , get his soap , rush it in there by helicopter, you know keep the soap alive on the soap support system ....looks it over. `We got the hair but I think we lost the Zest.`....rejects the transplant with organs. Is it possible that a head could reject the hair transplant . Guy just standin' there and suddenly... ..Bink! ........lands in someone's frozen yogurt."
2203,"....hair that was on your shower soap today could be in your head tomorrow. How did they do the first transplant? Did they have the guy take a shower , get his soap , rush it in there by helicopter, you know keep the soap alive on the soap support system ....looks it over. `We got the hair but I think we lost the Zest.`....rejects the transplant with organs. Is it possible that a head could reject the hair transplant . Guy just standin' there and suddenly... ..Bink! ........lands in someone's frozen yogurt.",.....The gaskets that you have here are asymmetrical.
2204,Hey! what are listening to?,My show from last night.
2205,Oh! you taped it?,"Yeah , I was doing new material."
2206,Huh?,"Yeah! like the big toe is like the captain of the toes, but sometimes the toe next to the big toe gets so big that there's like a power struggle and the second toe assumes control of the foot."
2207,Yeah. Did you do it?,Yeah!
2208,So?,Nothin'.....nothing at all.
2209,Who you calling?,China.
2210,China really?,Yeah. I'll pay for it.
2211,What for?,What for? . I'll tell you what for.... for hair.
2212,What for? . I'll tell you what for.... for hair.,Hair?
2213,Hair?,The Chinese have done it my friend. The Chinese have done it.
2214,Done what?,Discovered a cure for baldness.
2215,Did you see that last night?,It was on CNN  This Chinese doctor Zeng Zau. has discovered a cure for baldness.
2216,What's this?,"We'll I just got it. Spector gave it to me , he's giving everything away...becoming a minimalist."
2217,Is that the guy who likes fat women?,Doesn't the fat fetish conflict with the minimalism.
2218,What?,Oh! God.. Oh! man.....Oh! brother!!! I can't believe what I'm hearing. This woman his talking to me on my tape recorder while I was on stage. This is wild. I've never heard anything like this in my life. Listen to this.
2219,Wa..Wait.Wait!......Who is this woman?,I don't know . I have no idea . I was just listening and she came on.
2220,This is like a Penthouse letter...Why can't I meet women like this?,All right Come on....again attempts to pull headphones off)
2221,"WAIT ,WAIT, WAIT, WAIT!!!!.... Where was the tape recorder?","It was in the back of the room on the left, she must have been sitting right in front of it."
2222,"All right, All right, all, right!! How you gonna find out who this is?",Good question.
2223,What do the Chinese have to gain by faking a cure for baldness?,"If it was real ,they would never let it out of the country. No baldness , it'd be like a nation of Supermen."
2224,What's happening?,Tell her. I wanna hear her reaction.
2225,What??,"The Chinese , the Chinese bald cure."
2226,What did she say?,Seinfeld.....
2227,Hey! Is that Peter? ...I can't believe it. Get me a cup of Decaf.,So did you hear this message?
2228,So did you hear this message?,"Oh!, he he, It was unbelievable"
2229,Huh! Sexy?,This woman drove us out of our minds
2230,Like ...humm...How did she sound?,"She had this throaty , sexy kind of whisper."
2231,Oh! my God!!......You?.....You?...That was you?....,Shhhhhh!!!
2232,how did ya?...,"I stopped at the club to see him and I was standing in the back while he was on, right?, and there was this tape recorder there and I.....got this impulse. Ha Ha Ha Ha....What?"
2233,"I stopped at the club to see him and I was standing in the back while he was on, right?, and there was this tape recorder there and I.....got this impulse. Ha Ha Ha Ha....What?",Oh! no no nothing....
2234,"Oh! That was nothing. So listen, what about this bald thing?","Ah! Some bald thing, a bald thing I dunno. It's nothing"
2235,Remember Peter?,Peter?
2236,Peter?,You remember Peter. remember I told you how he went to the track that one time and he was yelling at this jockey and the jockey got off the horse and started chasin' him.
2237,"So listen , what about this girl on the tape recorder?",Oh Elaine....What do you think an enraptured female fan of mine might say?
2238,Oh Elaine....What do you think an enraptured female fan of mine might say?,I don't know.
2239,Wh.. Where you going?,Home.
2240,Why you going home for?,"We'll , I just came from the gym , unless I can shower at your place."
2241,Operator? Beijing?,Why are you doing this?
2242,Why are you doing this?,Why do I do anything? tsss...For women.
2243,Why do I do anything? tsss...For women.,Elaine have you ever gone out with a bald man?
2244,Elaine have you ever gone out with a bald man?,No.
2245,You know what that makes you?...A baldist.,Oh. This I need. Hello!! Hello. i..i..is this the hair restoration clinic? ...Does anyone speak English?
2246,Oh. This I need. Hello!! Hello. i..i..is this the hair restoration clinic? ...Does anyone speak English?,Ooooh! You're taping.
2247,Hi. How 're you doin'?,I'm doin' fine.
2248,Do you speak English?...English!!,"Whooooa! here's the director Jerry Seinfeld . Jerry , you discovered Elaine Benes?"
2249,"Whooooa! here's the director Jerry Seinfeld . Jerry , you discovered Elaine Benes?",We'll yes I did that's true. A couple of a guys I knew in the coastguard told me about her.... and I sensed that she had the anger and intensity that I needed to make this film work.
2250,"So What scene are you ready to shoot now , Elaine?","In this scene my co-star who's right over here  Follow meeeee... is George Costanza, he plays an airline pilot who's just returned from Rome and I'm about to show him how much I've missed him."
2251,That's my Chinese food...So George is this your first movie with Elaine?,I...I..I dunno.
2252,So Elaine in your movies is the sex real or is it simulated?,Oh. it's always simulated....except with George that's in my contract.
2253,How much do I owe you?,$15.90.
2254,$15.90.?,Huh. Excuse me  Hum... Do you speak chinese?
2255,Huh. Excuse me  Hum... Do you speak chinese?,Chinese....Yeah.
2256,They send me? Aw right ..ask 'em Does it really work?,"Gym a gun sen tokomo. Chin che .They say you grow hair, Look a like Stalin"
2257,Ask' em Are there any side effects?,Dowe o futo yum.... Impotence. ....
2258,Thanks for driving me home. What did I do to deserve this?,"Yoohoo ,Plenty......Wh..wh..what are doing hum...you're going in?"
2259,"Yoohoo ,Plenty......Wh..wh..what are doing hum...you're going in?",We'll ya. I guess so Why? You wanna do something?
2260,We'll ya. I guess so Why? You wanna do something?,yeah....euh...I dunno What?
2261,yeah....euh...I dunno What?,Pffft....there's really nothing to do.
2262,Do you think of anything?..,"No, no...."
2263,Yeah! that was a...f...fun ..mmm?.,So all right I'll speak to you through Jerry and everything.
2264,..She was sitting at the table where I had my tape recorder...Okay great. Thanks again.. bye. HA Ha..Who do these women think they're dealing with? Did she think she was gonna leave this incredibly erotic message on my tape and I was just gonna let it go. Not Bloody likely...,What is that?
2265,What is that?,That's my cockney accent.
2266,Oh! Is that the bald stuff?,From China. All the way from China.
2267,He's a happy camper huh?,"Happy camper , I don't hear that expression enough."
2268,No kidding?,He's in jail.
2269,What happened to the jacket. Did he take it with him?,That's what I intend to find out.
2270,You can see it. You gonna walk around like that?,It stinks. Can you smell that?....You stink.
2271,It stinks. Can you smell that?....You stink.,How long are you suppose to leave it on for?
2272,How long are you suppose to leave it on for?,All day.
2273,Hello.. so did you ever find out who that woman was?,"Yes , I got her number."
2274,Is that Elaine?,Yeah.
2275,I guess you figure you're in for a pretty wild night?,"We'll , as I said this type of thing is very common in show business"
2276,We'll listen I'm going to  do you want me to stop by?,Did she say Hello?
2277,Did she say Hello?,What? I dunno.
2278,What? I dunno.,"I mean , when I said Hello did she say Hello back?"
2279,"I mean , when I said Hello did she say Hello back?","I don't know , Who keeps track of Hellos."
2280,Isn't polite to say Hello when somebody says hello?,She's coming up.
2281,Elaine's coming up?,"Yeah. What's wrong, why?"
2282,"Yeah. What's wrong, why?",How often do you cut your toe nails?
2283,How often do you cut your toe nails?,I would say every two and a half to eight weeks.
2284,What?,The captain of the toes. Hello.
2285,So humm....When you gonna call her?,Soon as I get off the phone wih you.
2286,"okay , bye  What happened , did you take it off?","Yeah, that was enough."
2287,"That's it, you gave up?",No No I'm working on a system...Who was that?
2288,No No I'm working on a system...Who was that?,"That was Elaine , she changed her mind. She's not coming over."
2289,Hello is this Alicia? .This is Jerry Seinfeld.,Yeah.
2290,Come on up . ...What's he doing here now?,"So , you blew it?"
2291,"So , you blew it?",She must be psychotic or something.
2292,Sheriff?........What's with the hat?,Pheeewwww! Boy! You stink.
2293,What are doing here now?,I have to talk to you about something .
2294,What's up?,"I can't tell ya now , he's gonna be back in a ten seconds."
2295,"Oh! Come om . He'll be over there for a half hour, he gets lost over there. C'mon so what is this about?",All right.........I've become attracted to Elaine..
2296,Really? ..You think.,"Kramer. I would like to talk to George for a minute, please."
2297,'bout what?,It's kinda private.
2298,So now you're doing my bits?,I'M NOT DOING YOUR BITS!!
2299,Does she know?,NO!!
2300,How did it happen?,I can't say.
2301,"Well, why can't you say it?",Because I promised her.
2302,I thought you just said she doesn't know??,She doesn't.
2303,So how can you promise her?,Because she asked me to.
2304,"What is this, an Abbott and Costello routine?",All right You really want to know?...It all started when she told met hat...she was the voice on your tape recorder.
2305,All right You really want to know?...It all started when she told met hat...she was the voice on your tape recorder.,"What, Elaine?"
2306,"What, Elaine?",Yeah! She made me promise not to tell you .It's supposed to be a joke.
2307,"Hi, It's Elaine is this a bad time?","Don't tell her anything, she'll kill me!!"
2308,What's the matter?,Oooh! I got a pain in my side.
2309,What are you doing here?,I was the one who talked into your tape recorder.
2310,Where did you come up with all that stuff?,That was nothing.
2311,What is it?,I'm very attracted to you..
2312,Whoa!!!....That was you?,It was a joke...
2313,Where'd you meet her?,I met her on an elevator.
2314,On an elevator? You met a woman on an elevator?,"Impossible, right?"
2315,"Impossible, right?",You got less than sixty seconds. That's like dismantling a time bomb. What got into you?
2316,You got less than sixty seconds. That's like dismantling a time bomb. What got into you?,"I don't know. She was so beautiful, it was like a pure reflex. The words just came out of my mouth."
2317,Wow. What'd you say?,"You know, I'm the one responsible for those crop circles in England."
2318,Can you believe I did that?,What did she say?
2319,What did she say?,What crop circles?
2320,What crop circles?,Not a good sign.
2321,Not everybody knows what the crop circles are. Do you know what the crop circles are?,Crop circles? Why don't you buy something?
2322,Crop circles? Why don't you buy something?,You got something in your teeth there.
2323,What?,It's green.
2324,Did you bump into anybody you knew?,I had a job interview.
2325,How'd it go?,Take a guess.
2326,What's the matter?,"Oh, nothing."
2327,What?,You won't think I'm a bad person?
2328,You won't think I'm a bad person?,Too late for that.
2329,"So who am I to be thinking about someone's nose? I mean, I should be grateful someone like her even looks at me. I have no job, nothing. But I have to say, I think about the nose. I don't want to think about the nose. I don't ask to think about the nose, but I think about it. I go to bed at night, I tell myself, 'Don't think about the nose, forget the nose,' but I think about it. I look at her, I see nose.",Stop being so concerned with looks.
2330,Have you said anything to her about it?,"I could never do that. You know the ironic thing is if she had a smaller nose, I never could have gone out with her in the first place. She'd be out of my league with a smaller nose. And I really like her, I know that. And I know one other thing. I'm not getting past that nose."
2331,How can I not think about it? Look at the size of this thing.,"So my mother's going out with this guy who leaves a jacket in her house so, you know, she gives it to me. Well, two years later he shows up and he takes it back. And now he's in prison. He got arrested for mail fraud. So Elaine, all you have to do is go over to the apartment, tell the landlord that you're his daughter and you want to bring him the jacket in prison."
2332,Won't the landlord know I'm not the daughter?,"No no, he's never met her. She's in California."
2333,Are you coming with me?,"Oh, yeah yeah, I have to. I'm your fianc, Peter Von Nostrand."
2334,Why don't you just commit yourself already?,What is so special about this jacket?
2335,What is so special about this jacket?,He believes it possesses some extraordinary power over women.
2336,What's the smudge on your hand?,"Oh, I got stamped at the reggae lounge last night. Yeah, I'm going back there tonight, you know, I'm not gonna pay another cover charge."
2337,"What, you didn't wash all day?","Yeah, I washed, just not the hand. You wouldn't believe the women at this club. Ohh, man."
2338,What? What?,How could you say something like that?!
2339,How could you say something like that?!,What? What do you mean? I just said she needs a nose job.
2340,What? What do you mean? I just said she needs a nose job.,"No no, there's nothing wrong with her nose! I'm so sorry, Audrey."
2341,What did you have to say that for?,"Well, I was just trying to help out."
2342,"Yeah? Well, you can kiss that jacket goodbye, Mr. Von Nozzin.",You see what happens when you try to be nice?
2343,You see what happens when you try to be nice?,Elaine said I could stay with her another month until Tina gets back. What are you thinking about?
2344,Elaine said I could stay with her another month until Tina gets back. What are you thinking about?,Thinking? Nothing. What could I possibly be thinking?
2345,Thinking? Nothing. What could I possibly be thinking?,You look like you've got something on your mind.
2346,"Oh, yeah, right. I wish I had something on my mind. So how about that Kramer, huh?",How about him?
2347,How about him?,They way he just says stuff.
2348,"So, what did you think?",About the pizza?
2349,About the pizza?,"No, about the nose job."
2350,"Oh, the nose job. I don't know, what did you think?","Well, I've thought about it, but I don't know."
2351,Really?,"Probably. They all do. In my high school, half my graduating class had them. Of course, I'm from Long Island, so..."
2352,So you really think I should do this?,"If it makes you happy, I don't focus on these things. I will tell you this Unfortunately, we live in a very superficial society. I don't condone it, but it's a fact of life."
2353,"Aw, now you talked her into getting a nose job?",Me? I didn't say anything.
2354,Me? I didn't say anything.,You encouraged her to get one.
2355,Peter Jennings had one?,It's possible.
2356,"It's exciting, isn't it? She's gonna have a whole new face.",It is exciting.
2357,"Please, please, Isabel? She is the most despicable woman I have ever met in my life. I have never been so repulsed by someone mentally and so attracted to them physically at the same time. It's like my brain is facing my penis in a chess game. And I'm letting him win.",You're not letting him win. He wins till you're forty.
2358,Then what?,He still wins but it's not a blowout.
2359,How do you even know the jacket is there?,"We'll I don't, I'm guessing."
2360,"Okay, look, Audrey, before you take the bandage off just remember that I was the one that encouraged you to do this, you know? Now that you're gonna be a great beauty, let's not forget how this all began. You know, like if you'd listened to your friend, Elaine,",George?
2361,George?,Yeah?
2362,Yeah?,Enough.
2363,"Alright, are we ready? Come on, let's get this show on the road.",Are you sure you want us here for this?
2364,Are you sure you want us here for this?,Yes.
2365,Shouldn't a doctor do it?,"No, he said I could do it. Okay, here goes."
2366,Where are you going?,To the doctor!
2367,How ya feeling?,Too much salt in my diet.
2368,Can I get you anything?,"Nah, I'm good."
2369,You sure? Anything?,"Mmm, no. Boy, it really didn't come out too we'll, did it?"
2370,"Mmm, no. Boy, it really didn't come out too we'll, did it?","No, it didn't. No, it didn't."
2371,Shut up?,Yeah.
2372,You see this perinasal sinus cavity?,"Oh, I got it."
2373,You see how it's collapsing? That's what's causing this huge dent.,"Yeah, phew."
2374,"So anyway, George, do you know what I was thinking about?",What?
2375,What?,Remember we talked about taking a trip together?
2376,Remember we talked about taking a trip together?,We did?
2377,We did?,"Yeah, we talked about going to Hawaii?"
2378,"Yeah, we talked about going to Hawaii?",Hawaii?
2379,Hawaii?,"Anyway, I think it would be great to get away after all this."
2380,"'S BRAIN,We'll I'm getting a little tired of this. What do you say we play one for all the marbles?","'S PENIS,Oh Brain, what are you doing? You cannot beat me. Do you have any idea who you're dealing with? Forget about it!"
2381,"'S PENIS,Oh Brain, what are you doing? You cannot beat me. Do you have any idea who you're dealing with? Forget about it!","'S BRAIN,I can't take her anymore. I hate reading her stupid little acting scenes."
2382,"'S PENIS,Oh, so what? So you read from a little play. You can't put up with that for an hour to make me happy? You're so selfish. Give me one hour, then I will take over, you will not have to think for the rest of the night.","'S BRAIN,What about tomorrow morning? Do you have any idea what that's like for me? Do you care? No, you don't care. So long as you get to do whatever it is you do. You disgust me."
2383,"'S BRAIN,What about tomorrow morning? Do you have any idea what that's like for me? Do you care? No, you don't care. So long as you get to do whatever it is you do. You disgust me.","'S PENIS,Oh, go read a book."
2384,"Yeah, yeah, ok, now uh, you're clear, you got everything?",Yeah.
2385,What do I need this for?,Because we're engaged.
2386,We're engaged?,Um hm.
2387,Hello?,"Oh, uh, hi. I'm Wanda Pepper, I'm Albert Pepper's daughter. My father asked me to come here and pick up his jacket for him."
2388,"Oh, hello Miss Pepper, it's a pleasure to meet you. And you must be Professor Von Nostrand?","Yes, yes I am."
2389,"Tell me, is it your contention that Shakespeare was an imposter?",My contention?
2390,My contention?,"Yes, your contention."
2391,"'S BRAIN,What's the matter, fella? You look a little tired. Ha ha ha ha ha!","Nelson, don't you see? You are a part of me, and I, I am a part of you."
2392,"Nelson, don't you see? You are a part of me, and I, I am a part of you.","'S PENIS,It's killing me."
2393,"'S BRAIN,That's your move?","'S PENIS,Yeah."
2394,"My father, really? I had no idea.","Yes, they're crazy about him. There was one in particular, came around about two years ago, looked a lot like you, Professor. Could have been your mother. What was her name again? Carter? Kramer! That's it, Babs"
2395,"Yes, they're crazy about him. There was one in particular, came around about two years ago, looked a lot like you, Professor. Could have been your mother. What was her name again? Carter? Kramer! That's it, Babs",You don't say?
2396,You don't say?,I found it!
2397,"Audrey? My god, you look incredible! I can't believe it!","Well, it was his doctor. He was wonderful."
2398,"So, will I see you later tonight?",Not sure.
2399,"Well, I'll check you guys out later. Ready?",I didn't wash.
2400,Isn't she beautiful? Her nose is in such perfect proportion with the rest of her face. She's breathtaking! Who would have though she's like--,Elaine. Shut up.
2401,How did you get fleas?,Because my cousin's imbecile dog was rolling around outside and they got in his carpet.
2402,"That's not funny. So, are you coming to the party?","I'd go, but Long Island, it's so far out, it smacks of desperation. The whole party, everyone's gonna be saying to me, `You came all the way out from Manhattan for this?`"
2403,"I'd go, but Long Island, it's so far out, it smacks of desperation. The whole party, everyone's gonna be saying to me, `You came all the way out from Manhattan for this?`",You know Ava's gonna be there.
2404,Who?,The nice one that works in my office.
2405,"What does that mean, good dip?","No, there'll be girls there."
2406,"There's girls everywhere. I go out of my apartment, there's girls in the elevator. They're in cafeterias, subways, so what?",There's a hundred different things here. What's the difference between these two?  You got propylparabin?
2407,There's a hundred different things here. What's the difference between these two?  You got propylparabin?,Got it.
2408,You got isobutane-30?,I got isobutane-20.
2409,You got sorbitant sesquioliate?,Got it.
2410,You got aloe? I love aloe.,Where do they make yours?
2411,Where do they make yours?,Jersey.
2412,"Girls. There's girls right here in the store. Look, look, there's one over there. Look, there's another one. Soon as I walk outside there'll be girls out there. What's the matter?","I gave her a twenty, she only gave me change for a ten."
2413,"Are you sure? Oh boy, here we go.","Excuse me, I gave you a twenty dollar bill and you only actually gave me change for a ten."
2414,Will you please step aside? Next?,"Alright, let's just examine the situation for a second. Who, in this situation, would be more likely to make a mistake? Me, who had access to my wallet, knew exactly what was in there? Or you--"
2415,"Alright, let's just examine the situation for a second. Who, in this situation, would be more likely to make a mistake? Me, who had access to my wallet, knew exactly what was in there? Or you--",You.
2416,What's the problem here?,"No problem. There's no problem. She just owes me ten dollars, that's all."
2417,"Oh, so you don't believe me either?","Come on, let's go."
2418,"You haven't won. You may think you've won, but you haven't won. Do you know why? It's not over. This is not over. I'm not forgetting what's happening here. You have my ten dollars. I will get it back. Alright, don't worry. It's not over. I'm going now. Good bye. I will be back.","We'll don't stand here, let's walk in, blend in, blend in."
2419,"What could possess anyone to throw a party? I mean, to have a bunch of strangers treat your house like a hotel room.","So, guess who just sold 129 West 81st."
2420,"Oh no you didn't. Get out, when?",Yesterday
2421,"Mark, is this true?","Yeah, this has got disaster written all over it."
2422,How old are you?,"Thirty-six. What's the signal? Howbout this? Chicken wing? No, no, no, I got a better one. Head patting."
2423,"Thirty-six. What's the signal? Howbout this? Chicken wing? No, no, no, I got a better one. Head patting.",Whatever you want.
2424,You came all the way out from Manhattan for this?,"Yeah, yeah I did."
2425,So what do you do?,(Patting his head I'm a comedian.
2426,Are you? Lemme ask you something. Where do you get your material?,I hear a voice.
2427,What kind of voice?,"A man's voice, but he speaks in German so I have to get a translator."
2428,How's it going?,"Great, how about you?"
2429,"Great, how about you?","I can't believe what's happening here. She hasn't taken her hands off me all night. She was always friendly around the office, but that was it."
2430,How do you account for this?,"I don't know, maybe a safe fell on her head."
2431,Now?,"If not now, when?"
2432,"If not now, when?",Gimme a half-hour.
2433,Can I talk to you for a second?,"Oh, excuse me. What have you been doing, I've been smacking myself senseless. People think I'm a mental patient."
2434,"Yeah, I think I've seen you in a club. You talk about a lot of everyday things, right?",Right.
2435,I wonder what happened to my fianc. I know he's here somewhere. Ellen? Have you seen my fianc?,He's upstairs.
2436,"Are you going upstairs? Tell my fianc I'm looking for him. I havelost my fianc, the poor baby.",Maybe the dingo ate your baby.
2437,What?,The dingo ate your baby!
2438,You ready?,"Listen, I have a tremendous favor to ask."
2439,What?,I think she wants me to take her home.
2440,What should I do?,Go! What could you do?
2441,Go! What could you do?,What about you and Elaine?
2442,What about you and Elaine?,We'll get a ride.
2443,Are you sure?,"We'll be fine, what did she say?"
2444,"We'll be fine, what did she say?",She told me she wants--  She told me she wants me to make love to her.
2445,What? She said that?,Yeah.
2446,What did you say?,"I, I, I can't."
2447,What did you say?,"Please, it's--"
2448,What?,I... I... I long for you.
2449,I long for you?,I was so shocked I was lucky I said anything.
2450,Really?,"That's a lot of pressure. Make love to me. What am I, in the circus? What if I can't deliver?"
2451,"That's a lot of pressure. Make love to me. What am I, in the circus? What if I can't deliver?","Oh, come on."
2452,"I can't perform under pressure. That's why I never play anything for money, I choke. I could choke tonight. And she works in my office, can you imagine? She goes around telling everyone what happened? Maybe I should cancel, I have a very bad feeling about this.","George, you're thinking too much."
2453,Pendant? Those bastards.,Excuse me.
2454,Really? Huh. What a world. So we can go now?,"Uh, no, he's taking the car."
2455,"Well, what are we gonna do for a ride?",I don't know.
2456,You don't know?,Maybe Kramer can come pick us up.
2457,"Oh great, oh, this is great. How could you let him take the car?","There's nothing I could do, it's part of the code."
2458,Oh look at that. Look at what she's wearing. You see what she's wearing?,"Yeah, yeah, alright."
2459,"Hey, is that real fur?",Oh boy.
2460,You don't care that innocent defenseless animals are being tortured so that you can look good?,Could we talk about this some other time?
2461,Could we talk about this some other time?,Are you a vegetarian?
2462,Are you a vegetarian?,Here we go.
2463,How do you know? Do you communicate with fish?,"Well, they're not kept in little cages."
2464,Ever seen a goldfish?,Goldfish.
2465,"Alright. Excuse me, this is your party, right?","No, I just live here."
2466,Can I use your phone?,What's in it for me?
2467,What's in it for me?,A bigger bill?
2468,A bigger bill?,"He he, go for it."
2469,"Krame? Sein. What are you doing? Well, I'm stuck out here on Long Island. What are your thoughts about taking a ride? You sure? Okay, but don't leave me hanging here. Okay, great. Let me give you directions.",You sure you don't need any help?
2470,You sure you don't need any help?,"No, not really."
2471,"I called, what should I do?  We really appreciate this.",It's two o'clock in the morning.
2472,"Thousand. Six hundred and twenty thousand. The horror, the horror. The wife keeps giving us dirty looks. Are you sure you gave him the right directions?",Yes. You're sure there's nothing we can do?
2473,Yes. You're sure there's nothing we can do?,"No!  I am not going to bed with them in our house, this is ridiculous."
2474,You know a friend of my father's used to live right around here. Mike Wichter. He sold plastic straws. You know the ones? You could bend them.,"Have you noticed, people don't use straws as much as they used to for some reason."
2475,"Hey, how ya doing?","Ah, look who's here."
