,Question,Answer
299,But what about all our bags?,Fuck the bags. We'll miss our train if we don't split now.
300,Is everything well? Are we in danger?,"We're cool. In fact, we're super- cool. But we gots to go. I'll wait for you outside."
301,Where did you get this motorcycle?,"It's a chopper, baby, hop on."
302,What happened to my Honda?,"Sorry baby, I crashed the Honda."
303,You're hurt?,"I might've broke my nose, no biggie. Hop on."
304,"I'm sorry I worried you, sweetie. Everything's fine. Hey, how was breakfast?",It was good –
305,– did you get the blueberry pancakes?,"No, they didn't have blueberry pancakes, I had to get buttermilk – are you sure you're okay?"
306,"No, they didn't have blueberry pancakes, I had to get buttermilk – are you sure you're okay?","Baby-love, from the moment I left you, this has been without a doubt the single weirdest day of my entire life. Climb on an' I'll tell ya about it."
307,"Butch, whose motorcycle is this?",It's a chopper.
308,Whose chopper is this?,Zed's.
309,Who's Zed?,"Zed's dead, baby, Zed's dead."
310,"You ever read the Bible, Brett?",Yes!
311,Friend of yours?,"Yeah, Marvin-Vincent-Vincent-Marvin."
312,Why the fuck didn't you tell us about that guy in the bathroom? Slip your mind? Forget he was in there with a goddamn hand cannon?,We should be fuckin' dead right now. Did you see that gun he fired at us? It was bigger than him.
313,We should be fuckin' dead right now. Did you see that gun he fired at us? It was bigger than him.,.357.
314,That was... divine intervention. You know what divine intervention is?,"Yeah, I think so. That means God came down from Heaven and stopped the bullets."
315,"Do you wanna continue this theological discussion in the car, or at the jailhouse with the cops?","We should be fuckin' dead now, my friend! We just witnessed a miracle, and I want you to fuckin' acknowledge it!"
316,"Okay man, it was a miracle, can we leave now?","...Ever seen that show ""COPS?"" I was watchin' it once and this cop was on it who was talkin' about this time he got into this gun fight with a guy in a hallway. He unloads on this guy and he doesn't hit anything. And these guys were in a hallway. It's a freak, but it happens."
317,"...Ever seen that show ""COPS?"" I was watchin' it once and this cop was on it who was talkin' about this time he got into this gun fight with a guy in a hallway. He unloads on this guy and he doesn't hit anything. And these guys were in a hallway. It's a freak, but it happens.","If you wanna play blind man, then go walk with a Shepherd. But me, my eyes are wide fuckin' open."
318,What the fuck does that mean?,"That's it for me. For here on in, you can consider my ass retired."
319,"Marvin, what do you make of all this?",I don't even have an opinion.
320,"C'mon, Marvin. Do you think God came down from Heaven and stopped the bullets?",What the fuck's happening?
321,What the fuck's happening?,I just accidentally shot Marvin in the throat.
322,Why the fuck did you do that?,I didn't mean to do it. I said it was an accident.
323,"– chill out, man, it was an accident, okay? You hit a bump or somethin' and the gun went off.",The car didn't hit no motherfuckin' bump!
324,Can't we just take it to a friendly place?,"This is the Valley, Vincent. Marsellus don't got no friendly places in the Valley."
325,Who ya callin'?,A buddy of mine in Toluca Lake.
326,"If he kicks us out, whadda we do?","Well, we ain't leavin' 'til we made a couple phone calls. But I never want it to reach that pitch. Jimmie's my friend and you don't bust in your friend's house and start tellin' 'im what's what."
327,What the fuck did you just do to his towel?,I was just dryin' my hands.
328,"I used the same soap you did and when I dried my hands, the towel didn't look like a fuckin' Maxie pad. Look, fuck it, alright. Who cares? But it's shit like this that's gonna bring this situation to a boil. If he were to come in here and see that towel like that... I'm tellin' you Vincent, you best be cool. 'Cause if I gotta get in to it with Jimmie on account of you... Look, I ain't threatenin' you, I respect you an' all, just don't put me in that position.","Jules, you ask me nice like that, no problem. He's your friend, you handle him."
329,"Goddamn Jimmie, this is some serious gourmet shit. Me an' Vincent woulda been satisfied with freeze-dried Tasters Choice. You spring this gourmet fuckin' shit on us. What flavor is this?","Knock it off, Julie."
330,What?,"I'm not a cobb or corn, so you can stop butterin' me up. I don't need you to tell me how good my coffee is. I'm the one who buys it, I know how fuckin' good it is. When Bonnie goes shoppin;, she buys shit. I buy the gourmet expensive stuff 'cause when I drink it, I wanna taste it. But what's on my mind at this moment isn't the coffee in my kitchen, it's the dead nigger in my garage."
331,"– I'm talkin'. Now let me ask you a question, Jules. When you drove in here, did you notice a sign out front that said, ""Dead nigger storage?""","– answer to question. Did you see a sign out in front of my house that said, ""Dead nigger storage?"""
332,"– answer to question. Did you see a sign out in front of my house that said, ""Dead nigger storage?""","Naw man, I didn't."
333,You know why you didn't see that sign?,Why?
334,Why?,'Cause storin' dead niggers ain't my fuckin' business!
335,"...well, say she comes home. Whaddya think she'll do? No fuckin' shit she'll freak. That ain't no kinda answer. You know 'er, I don't. How bad, a lot or a little?","You got to appreciate what an explosive element this Bonnie situation is. If she comes home from a hard day's work and finds a bunch of gangsters doin' a bunch of gangsta' shit in her kitchen, ain't no tellin' what she's apt to do."
336,You sendin' The Wolf?,Feel better?
337,Feel better?,"Shit Negro, that's all you had to say."
338,Is she the hysterical type? When she due? Give me the principals' names again? Jules...,...Vincent... Jimmie... Bonnie...
339,"You're Jimmie, right? This is your house?",Yeah.
340,So I heard. May I come in?,Please do.
341,"You must be Jules, which would make you Vincent. Let's get down to brass tacks, gentlemen. If I was informed correctly, the clock is ticking, is that right, Jimmie?",100%.
342,"Your wife, Bonnie... ...comes home at 9:30 in the AM, is that correct?",Uh-huh.
343,Jimmie?,Yes.
344,"Do me a favor, will ya? Thought I smelled some coffee in there. Would you make me a cup?","Sure, how do you take it?"
345,"Sure, how do you take it?","Lotsa cream, lotsa sugar."
346,"About the car, is there anything I need to know? Does it stall, does it make a lot of noise, does it smoke, is there gas in it, anything?","Aside from how it looks, the car's cool."
347,Positive? Don't get me out on the road and I find out the brake lights don't work.,"Hey man, as far as I know, the motherfucker's tip-top."
348,"Okay first thing, you two. Take the body, stick it in the trunk. Now Jimmie, this looks to be a pretty domesticated house. That would lead me to believe that in the garage or under the sink, you got a bunch of cleansers and cleaners and shit like that, am I correct?",Yeah. Exactly. Under the sink.
349,Come again?,"I said a ""please"" would be nice."
350,"It's a 1974 Chevy Nova. White. Nothin', except for the mess inside. About twenty minutes. Nobody who'll be missed. You're a good man, Joe. See ya soon. How we comin', Jimmie?","Mr. Wolf, you gotta understand somethin' –"
351,"– let me ask you a question, if you don't mind?",Sure.
352,Were you Uncle Conrad and Aunt Ginny millionaires?,No.
353,"Well, your Uncle Marsellus is. And I'm positive if Uncle Conrad and Aunt Ginny were millionaires, they would've furnished you with a whole bedroom set, which your Uncle Marsellus is more than happy to do. I like oak myself, that's what's in my bedroom. How 'bout you Jimmie, you an oak man?",Oak's nice.
354,"Did you ever hear the philosophy that once a man admits he's wrong, he's immediately forgiven for all wrong-doings?","Man, get outta my face with that shit! The motherfucker who said that never had to pick up itty-bitty pieces of skull with his fingers on account of your dumb ass."
355,"You're gettin' ready to blow? I'm a mushroom-cloud-layin' motherfucker! Every time my fingers touch brain I'm ""SUPERFLY T.N.T,"" I'm the ""GUNS OF NAVARONE."" I'm what Jimmie Walker usta talk about. In fact, what the fuck am I doin' in the back? You're the motherfucker should be on brain detail. We're tradin'. I'm washin' windows and you're pickin' up this nigger's skull.","Fine job, gentlemen. We may get out of this yet."
356,All the way?,To your bare ass.
357,Are you sure this is absolutely necessary?,You know what you two look like?
358,You know what you two look like?,What?
359,What?,"Like a couple of guys who just blew off somebody's head. Yes, strippin' off those bloody rags is absolutely necessary. Toss the clothes in Jim's garbage bag."
360,"Perfect. Perfect. We couldn't've planned this better. You guys look like... what do they look like, Jimmie?",Dorks. They look like a couple of dorks.
361,"Gentlemen, let's get our rules of the road straight. We're going to a place called Monster Joe's Truck and Tow. Monster Joe and his daughter Raquel are sympathetic to out dilemma. The place is North Hollywood, so a few twist and turns aside, we'll be goin' up Hollywood Way. Now I'll drive the tainted car. Jules, you ride with me. Vincent, you follow in my Porsche. Now if we cross the path of any John Q. Laws, nobody does a fuckin' thing 'til I do something. What did I say?",Don't do shit unless –
362,– unless what?,Unless you do it first.
363,"Spoken like a true prodigy. How 'bout you, Lash Larue? Can you keep your spurs from jingling and jangling?","I'm cool, Mr. Wolf. My gun just went off, I dunno how."
364,We cool?,Like it never happened.
365,"Hi. You know, if they ever do ""I SPY: THE MOTION PICTURE,"" you guys, I'd be great. What's with the outfits. You guys going to a volleyball game?",I'm takin' m'lady out to breakfast. Maybe I can drop you two off. Where do you live?
366,I'm takin' m'lady out to breakfast. Maybe I can drop you two off. Where do you live?,Redondo Beach.
367,"You hear that, young lady? Respect. You could lean a lot from those two fine specimens. Respect for one's elders shows character.",I have character.
368,Wanna share a cab?,You know I could go for some breakfast. Want to have breakfast with me?
369,You know I could go for some breakfast. Want to have breakfast with me?,Sure.
370,Thanks a bunch. Want a sausage?,"Naw, I don't eat pork."
371,Are you Jewish?,"I ain't Jewish man, I just don't dig on swine."
372,Why not?,They're filthy animals. I don't eat filthy animals.
373,How about dogs? Dogs eat their own feces.,I don't eat dog either.
374,"Yes, but do you consider a dog to be a filthy animal?","I wouldn't go so far as to call a dog filthy, but they're definitely dirty. But a dog's got personality. And personality goes a long way."
375,"So by that rationale, if a pig had a better personality, he's cease to be a filthy animal?",We'd have to be talkin' 'bout one motherfuckin' charmin' pig. It'd have to be the Cary Grant of pigs.
376,About what?,The miracle we witnessed.
377,Do you know that a miracle is?,An act of God.
378,What's an act of God?,"I guess it's when God makes the impossible possible. And I'm sorry Jules, but I don't think what happened this morning qualifies."
379,But why?,That's what's fuckin' wit' me! I don't know why. But I can't go back to sleep.
380,"So you're serious, you're really gonna quit?","The life, most definitely."
381,"So if you're quitting the life, what'll you do?","That's what I've been sitting here contemplating. First, I'm gonna deliver this case to Marsellus. Then, basically, I'm gonna walk the earth."
382,"What do you mean, walk the earth?","You know, like Caine in ""KUNG FU."" Just walk from town to town, meet people, get in adventures."
383,How long do you intend to walk the earth?,Until God puts me where he want me to be.
384,What if he never does?,"If it takes forever, I'll wait forever."
385,So you decided to be a bum?,"I'll just be Jules, Vincent – no more, no less."
386,Any of you fuckin' pricks move and I'll execute every one of you motherfuckers! Got that?!,"Customers stay seated, waitresses on the floor."
387,"On the floor or I'll cook you ass, comprende?","I'm the manager here, there's no problem, no problem at all –"
388,You're gonna give me a problem?,What? You said you're gonna give me a problem?
389,What? You said you're gonna give me a problem?,"No, I'm not. I'm not gonna give you any problem!"
390,"Okay people, I'm going to go 'round and collect your wallets. Don't talk, just toss 'em in the bag. We clear?",In the bag.
391,What's in that?,My boss' dirty laundry.
392,You boss makes you do his laundry?,When he wants it clean.
393,What's goin' on?,Looks like we got a vigilante in our midst.
394,"I'm countin' to three, and if your hand ain't off that case, I'm gonna unload right in your fuckin' face. Clear? One...",...two... three.
395,What is it? What is it?,Is that what I think it is?
396,Is that what I think it is?,It's beautiful.
397,"Goddammit, what is it?","Let him go! Let him go! I'll blow your fuckin' head off! I'll kill ya! I'll kill ya! You're gonna die, you're gonna fuckin' die bad!"
398,What's her name?,Yolanda.
399,"So, we cool Yolanda? We ain't gonna do anything stupid, are we?",Don't you hurt him.
400,Nobody's gonna hurt anybody. We're gonna be like three Fonzies. And what' Fonzie like?,"C'mon Yolanda, what's Fonzie like?"
401,"C'mon Yolanda, what's Fonzie like?",He's cool?
402,He's cool?,"Correct-amundo! And that's what we're gonna be, we're gonna be cool. Now Ringo, I'm gonna count to three and I want you to let go your gun and lay your palms flat on the table. But when you do it, do it cool. Ready?"
403,"Correct-amundo! And that's what we're gonna be, we're gonna be cool. Now Ringo, I'm gonna count to three and I want you to let go your gun and lay your palms flat on the table. But when you do it, do it cool. Ready?",One... two... three.
404,What the fuck's goin' on here?,"It's cool, Vincent! It's cool! Don't do a goddamn thing. Yolanda, it's cool baby, nothin's changed. We're still just talkin'. Tell her we're still cool."
405,"What the hell's goin' on, Jules?",Nothin' I can't handle. I want you to just hang back and don't do shit unless it's absolutely necessary.
406,"Yolanda, how we doin, baby?",I gotta go pee! I want to go home.
407,Which one is it?,It's the one that says Bad Motherfucker on it.
408,That's my bad motherfucker. Now open it up and take out the cash. How much is there?,About fifteen hundred dollars.
409,"You ain't gonna do a goddamn thing, now hang back and shut the fuck up. Besides, I ain't givin' it to him. I'm buyin' somethin' for my money. Wanna know what I'm buyin' Ringo?",What?
410,What?,Your life. I'm givin' you that money so I don't hafta kill your ass. You read the Bible?
411,Your life. I'm givin' you that money so I don't hafta kill your ass. You read the Bible?,Not regularly.
